input_sha256,public_path,public_sha256,transform,replacement_occurrences
fdf7868e5b85a15bd5bfe0a89b23d59650f106345611d611d79443561812c701,evidence/criteria_recheck/initial_windows/PER-19.json,fdf7868e5b85a15bd5bfe0a89b23d59650f106345611d611d79443561812c701,byte-identical,0
41fc211d336caa4213fb78bd49bfa250330c8802b7c120d8d5c9887119e89faa,evidence/criteria_recheck/initial_windows/PER-20.json,41fc211d336caa4213fb78bd49bfa250330c8802b7c120d8d5c9887119e89faa,byte-identical,0
2d9949f7e33904dec7fadff783608e5be9a81028838407afcdaa52c93a2728d0,evidence/criteria_recheck/initial_windows/PER-21.json,2d9949f7e33904dec7fadff783608e5be9a81028838407afcdaa52c93a2728d0,byte-identical,0
38f9687a7346eaa99e63173f8c57a8c821ca7116b9e8f36c09ae8b1690efc34e,evidence/criteria_recheck/initial_windows/PER-22.json,38f9687a7346eaa99e63173f8c57a8c821ca7116b9e8f36c09ae8b1690efc34e,byte-identical,0
dbb15a7bc7916d17efa037e8acf02639d2138ca9d535d54782d596dce0d2e679,evidence/criteria_recheck/initial_windows/PER-23.json,dbb15a7bc7916d17efa037e8acf02639d2138ca9d535d54782d596dce0d2e679,byte-identical,0
81e7eb32a8e32ef59c0744d2d4f38ed5999eecaa59603c03b5a2a1cfd24b363e,evidence/criteria_recheck/initial_windows/PER-24.json,81e7eb32a8e32ef59c0744d2d4f38ed5999eecaa59603c03b5a2a1cfd24b363e,byte-identical,0
1c828f553b16999db22d0c68c9f5083d8aa063faa49ea726a67cf74235497f97,evidence/criteria_recheck/initial_windows/PER-25.json,1c828f553b16999db22d0c68c9f5083d8aa063faa49ea726a67cf74235497f97,byte-identical,0
3e4b44038541b139c80de5a6607bed350d9dd50377e26e1bb965d3dc32b8b068,evidence/criteria_recheck/initial_windows/PER-26.json,3e4b44038541b139c80de5a6607bed350d9dd50377e26e1bb965d3dc32b8b068,byte-identical,0
a368d5edcde1ed996a3f80667cd19ab99e4dba88385cb6ead6833cc757d4cba6,evidence/criteria_recheck/initial_windows/PER-27.json,a368d5edcde1ed996a3f80667cd19ab99e4dba88385cb6ead6833cc757d4cba6,byte-identical,0
ac55287a964032889870fe67da7d619259cdeed6d2e800efac4e2686d108cac5,evidence/criteria_recheck/initial_windows/PER-28.json,ac55287a964032889870fe67da7d619259cdeed6d2e800efac4e2686d108cac5,byte-identical,0
0c94a798ec04a1fcf63d07ed4e8aa4144da8d2175a5fa0dc0bf9375c2c26dadb,evidence/criteria_recheck/initial_windows/PER-29.json,0c94a798ec04a1fcf63d07ed4e8aa4144da8d2175a5fa0dc0bf9375c2c26dadb,byte-identical,0
a7ccf64888a9ffea9716e3f8084e3439e7332f9afc9508505c89f3ea5af1c839,evidence/criteria_recheck/initial_windows/PER-30.json,a7ccf64888a9ffea9716e3f8084e3439e7332f9afc9508505c89f3ea5af1c839,byte-identical,0
5d0e7236a5a566d931186183055e7a177b91cf168db85f8d0785a0598d14f061,evidence/criteria_recheck/page_images/CLA-07_p2.png,5d0e7236a5a566d931186183055e7a177b91cf168db85f8d0785a0598d14f061,byte-identical,0
95e7231b7997b71f08065943a5249ea583134808379cd6c8e8263a683d4222cb,evidence/criteria_recheck/page_images/GPT-28_p2.png,95e7231b7997b71f08065943a5249ea583134808379cd6c8e8263a683d4222cb,byte-identical,0
